,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
אמר,5284,21,0,2,1,0,0,5308,5308,0,1,1166,270,2716,88,7,962,98,1,פ׳׳א
היה,3540,21,0,0,0,0,0,3561,3561,0,2,1420,946,1015,24,6,148,2,0,ע׳׳וי
עשׂה,2527,99,2,0,0,0,1,2629,2629,0,3,1019,574,361,99,15,301,244,16,ל׳׳ה
בוא,1997,0,0,549,0,24,0,2570,2570,0,4,673,505,679,89,11,327,277,9,ע׳׳וי
נתן,1920,82,0,0,0,8,0,2010,2010,0,5,831,441,356,79,15,161,115,12,פ׳׳נ
הלך,1412,1,25,45,64,0,0,1547,1547,0,6,226,312,395,251,47,143,173,0,פ׳׳ג
ראה,1125,101,0,62,5,4,1,1298,1298,0,7,397,240,291,148,8,127,85,2,ל׳׳ה
שׁמע,1051,43,2,63,0,0,0,1159,1159,0,8,351,215,149,219,17,130,78,0,ל׳׳ג
דבר,41,4,1092,2,2,0,2,1143,1143,0,9,438,171,251,84,11,105,81,2,Fort
ישׁב,1033,8,1,38,0,2,0,1082,1082,0,10,145,111,192,44,2,87,501,0,פ׳׳וי
יצא,784,0,0,279,0,5,0,1068,1068,0,11,275,193,267,58,7,120,144,4,פ׳׳וי
שׁוב,683,0,11,357,0,5,0,1056,1056,0,12,229,328,209,124,18,109,36,3,ע׳׳וי
לקח,938,10,0,0,2,6,8,965,964,1,13,250,173,341,127,4,53,15,2,ל׳׳ג
ידע,819,41,1,71,2,3,6,944,943,1,14,496,183,36,54,15,61,89,10,פ׳׳וי
עלה,606,18,0,262,1,3,0,890,890,0,15,237,170,220,74,4,99,86,0,ל׳׳ה
קרא,796,68,0,1,0,0,7,872,872,0,16,201,133,290,47,1,157,32,11,ל׳׳א
שׁלח,563,1,268,5,0,0,10,847,847,0,17,255,115,305,49,11,56,46,10,ל׳׳ג
מות,620,0,9,138,0,68,0,835,835,0,18,150,275,179,6,55,68,99,3,ע׳׳וי
אכל,740,45,0,20,0,0,4,810,809,1,19,183,343,88,33,19,75,68,1,פ׳׳א
נשׂא,596,34,12,2,9,0,0,653,653,0,20,130,166,131,62,4,48,104,8,פ׳׳נ
קום,460,0,15,146,5,3,0,629,629,0,21,111,130,196,101,4,52,35,0,ע׳׳וי
שׂים,579,0,0,3,0,1,0,583,583,0,22,186,125,154,57,3,38,16,4,ע׳׳וי
עבר,465,1,2,80,8,0,0,556,556,0,23,137,116,100,33,1,62,107,0,פ׳׳ג
עמד,434,0,0,85,0,2,0,521,521,0,24,101,94,145,20,2,41,117,1,פ׳׳ג
נכה,0,1,0,481,0,16,2,500,500,0,25,153,52,195,13,3,38,40,6,פ׳׳נ
צוה,0,0,485,0,0,0,9,494,494,0,26,326,29,73,15,0,6,45,0,ע׳׳וי
ילד,237,38,10,176,1,3,26,492,491,1,27,236,34,120,1,2,43,49,7,פ׳׳וי
שׁמר,427,37,1,0,3,0,0,468,468,0,28,120,101,11,58,5,62,108,3,Fort
מצא,306,140,0,7,0,0,0,453,453,0,29,196,126,57,5,0,15,54,0,ל׳׳א
נפל,367,0,1,61,5,0,0,434,434,0,30,135,120,105,4,1,24,45,0,פ׳׳נ
ענה,329,9,60,6,6,0,4,414,414,0,31,80,99,163,25,1,26,19,1,ל׳׳ה
ירד,304,0,0,67,0,6,0,377,377,0,32,108,64,97,33,2,25,48,0,פ׳׳וי
בנה,346,30,0,0,0,0,0,376,376,0,33,119,66,84,8,1,64,30,4,ל׳׳ה
נגד,0,0,0,335,0,35,0,370,370,0,34,72,77,125,43,6,27,20,0,פ׳׳נ
מלך,297,1,0,49,0,1,0,348,348,0,35,126,25,112,4,2,73,6,0,Fort
ירא,282,45,5,0,0,0,0,332,332,0,36,45,153,45,7,0,20,62,0,פ׳׳וי
ברך,73,3,233,1,7,0,13,330,330,0,37,57,78,56,30,9,17,6,77,Fort
פקד,234,21,1,29,4,8,2,303,299,4,38,91,53,33,12,5,12,11,86,Fort
סור,158,0,1,133,0,5,0,297,297,0,39,109,68,40,39,4,24,11,2,ע׳׳וי
מלא,143,36,111,0,1,0,1,292,292,0,40,120,46,34,13,1,26,51,1,ל׳׳א
חזק,82,0,64,117,27,0,0,290,290,0,41,97,39,64,45,1,19,25,0,פ׳׳ג
